1787122411971	20.0	792	0	0.0	0	0	0
1787122522352	20.0	656	0	31.3	3	147	21
1787122524241	16.786774619420417	658	0	23.3	3	147	21
1787122525421	16.571459199549125	598	0	43.7	3	147	21
1787122527061	16.770678308251853	598	0	34.8	3	147	21
1787122528092	17.126112228527774	600	0	43.5	3	147	21
1787122559369	12.063657990254654	770	0	25.0	4	196	21
1787122561063	12.022105918837635	984	0	35.4	4	196	21
1787122562065	12.093158648633915	986	0	8.0	4	196	21
1787122563065	12.093280304430344	986	0	7.5	4	196	21
1787122564065	12.093305459893486	986	0	5.3	4	196	21
1787122566063	12.093324978797368	986	0	5.2	4	196	21
1787122567066	12.093167579669407	988	0	5.8	4	196	21
1787122569062	12.093315508360707	990	0	5.7	4	196	21
1787122570062	12.09324305751873	990	0	3.0	4	196	21
1787122571063	12.093135081137168	990	0	3.0	4	196	21
1787122572064	12.093316898572642	992	0	4.0	4	196	21
1787122613356	20.0	642	0	0.0	0	0	0
1787122631217	20.0	945	0	50.6	3	147	21
1787122633201	20.0	965	0	17.1	3	147	21
1787122635196	20.0	967	0	9.7	3	147	21
1787122636198	20.0	967	0	6.7	3	147	21
1787122637200	20.0	967	0	8.2	3	147	21
1787122638202	20.0	967	0	7.7	3	147	21
1787122640200	20.0	1021	0	10.2	3	147	21
1787122641345	19.921195280510045	1057	0	50.2	4	196	21
1787122643343	19.977585670625505	1077	0	39.0	4	196	21
1787122644343	19.977594210788066	1089	0	36.7	4	196	21
1787122645346	19.977572939218277	1093	0	23.4	4	196	21
1787122647343	19.977448064529586	1095	0	10.7	4	196	21
1787122648343	19.97759471365946	1095	0	8.2	4	196	21
1787122650345	19.97756535259772	1097	0	7.7	4	196	21
1787122651346	19.97707606515737	1097	0	6.7	4	196	21
1787122653345	19.97755838958109	1097	0	7.8	4	196	21
1787122654348	19.97758205175128	1097	0	6.0	4	196	21
1787122656343	19.97741650487325	1099	0	9.0	4	196	21
1787122657347	19.977614947269725	1101	0	5.0	4	196	21
1787122659344	19.97760831281483	1105	0	7.5	4	196	21
1787122661344	19.97758184488249	1105	0	3.5	4	196	21
1787122662347	19.97760212935252	1107	0	7.2	4	196	21
1787122663347	19.977174417458954	1109	0	6.0	4	196	21
1787122665340	19.97756570114778	1109	0	5.0	4	196	21
1787122666342	19.97757323621774	1111	0	3.5	4	196	21
1787122667349	19.97760542096814	1111	0	5.0	4	196	21
1787122669342	19.97759334772512	1113	0	3.7	4	196	21
